name,normalizedName,tager,legacyDefaultTag,runtimeDefaultTag,bundleIdentifier,defaultNote-ZH
,docker-desktop,devops,development|utilities|system-enhancement,development,com.docker.docker,在 Mac 上运行容器和微服务，本地开发环境更容易复现
,brave-browser,browser|security,browser,browser|security,com.brave.Browser,主打隐私和广告拦截的 Chromium 浏览器
,finder,file-management,file-management|utilities|system,file-management|utilities,com.apple.finder,macOS 系统自带工具，适合完成对应的系统管理或日常操作
,slack,communication,communication|productivity,communication,com.tinyspeck.slackmacgap,团队聊天和工作流入口，项目沟通不必埋在邮件里
,libreoffice,office,productivity,productivity|writing,null,开源 Office 套件，文档、表格和演示都能编辑
,1password-cli,security|terminal-tools,utilities|security,development|security,null,账号安全工具，适合管理密码、验证码和通行密钥
,claude,ai-tools,productivity|ai-tools,ai-tools,com.anthropic.claudefordesktop,桌面入口，适合长文阅读、写作和思考辅助
,cc-switch,ai-tools,development|ai-tools,ai-tools,null,把 AI 带进开发流程，适合写代码、调试和自动化
,orbstack,devops,development|utilities|system-enhancement,development,null,轻量容器和 Linux 环境，替代 Docker Desktop 很顺手
,chromedriver,browser|api-tools,browser|utilities,browser|development,null,Chrome WebDriver 工具，适合自动化测试网页应用
,zoom,Meeting,communication|productivity|media|video,communication|productivity,us.zoom.xos,视频会议常用入口，远程沟通和线上课程都离不开
,warp,ai-tools|terminal-tools,development,development|ai-tools,null,现代终端，把命令行、搜索和 AI 辅助结合起来
,tencent-meeting,Meeting,communication|productivity|media|video,communication|productivity,com.tencent.meeting,腾讯会议入口，中文办公和远程协作很常见
,minecraft,game,productivity|entertainment|game,entertainment|game,com.mojang.minecraftlauncher,开放世界沙盒游戏，建造、探索和模组玩法都很丰富
,macfuse,file-management,utilities,file-management|utilities,null,文件管理工具，适合整理、传输、清理或备份文件
,raycast,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,com.raycast.macos,键盘驱动的效率入口，启动 App、脚本和搜索都很快
,facetime,communication|video,communication|video,communication|media|video,com.apple.FaceTime,苹果生态里的音视频通话入口
,maccy,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,null,剪贴板历史工具，复制过的内容随时找回来
,telegram,communication|security,communication|utilities|security,communication|security,ru.keepcoder.Telegram,即时通讯工具，主打速度和安全
,spotify,audio,media|audio|entertainment,media|audio,com.spotify.client,流媒体音乐播放器，工作和放松都能配一首歌
,blackhole-2ch,audio|device-management,media|audio|utilities,media|audio|utilities|system-enhancement,null,虚拟音频驱动，适合录屏、直播和音频路由
,xquartz,runtime-sdk,development|utilities,development,null,开发相关工具，适合编程、调试或管理开发环境
,ollama,ai-tools,development|ai-tools,ai-tools,com.electron.ollama,把 AI 带进开发流程，适合写代码、调试和自动化
,signal,communication|security,communication|utilities|security,communication|security,org.whispersystems.signal-desktop,重视隐私的加密聊天工具
,baidu-netdisk,transfer,file-management|transfer|utilities,transfer|utilities,com.baidu.netdisk,百度网盘客户端，适合云端备份、同步和分享文件
,chatgpt,ai-tools|Notes,communication|productivity|ai-tools,productivity|writing|ai-tools,com.openai.chat,把 AI 助手放到桌面，写作、学习和头脑风暴随手就来
,sublime-text,ide,development|writing,development,null,轻快的代码与文本编辑器，写代码、改配置和记草稿都顺手
,wps-office,office,productivity,productivity|writing,com.kingsoft.wpsoffice.mac,办公套件，适合编辑文档、表格和演示稿
,adobe-acrobat-reader,PDF,design|writing,writing|utilities,null,PDF 阅读和批注工具，合同、论文和表单都能处理
,1password,security,utilities|security,security,com.1password.1password,密码和密钥管理器，账号安全的核心保险箱
,figma,ui-prototyping,productivity|design,design,com.figma.Desktop,在线协作设计工具，界面、原型和设计系统都能做
,netease-cloud-music,audio,media|audio|entertainment,media|audio,com.netease.163music,网易云音乐桌面端，听歌、歌单和中文音乐社区都方便
,music,audio,media|audio|entertainment,media|audio,com.apple.Music,本地和流媒体音乐播放器
,terminal,terminal-tools,development|utilities|system,development,com.apple.Terminal,命令行入口，Mac 的隐藏驾驶舱
,utm,devops,development|utilities,development,null,虚拟化或远程连接工具，适合运行系统环境和访问远程电脑
,lm-studio,ai-tools,development|utilities|ai-tools,ai-tools,ai.lmstudio.app,本地大模型运行工具，适合下载、测试和调用开源模型
,qq-music,audio,communication|media|audio|entertainment,media|audio,com.tencent.QQMusicMac,音乐播放器，适合听歌、管理歌单和使用腾讯音乐服务
,activity-monitor,system-maintenance,utilities|system|system-enhancement,utilities|system-enhancement,com.apple.ActivityMonitor,Mac 的仪表盘，专看谁在耗电、吃内存、拖慢电脑
,audio-midi-setup,audio|device-management,audio|utilities|system,media|audio|utilities|system-enhancement,com.apple.audio.audiomidisetup,管音频设备和 MIDI 路由，音乐人和调试党很常用
,automator,Automation,utilities|system-enhancement,productivity|system-enhancement,com.apple.automator,不写代码也能串起一串 Mac 自动化动作
,bluetooth-file-exchange,transfer|device-management,transfer|utilities|system,transfer|utilities|system-enhancement,com.apple.bluetoothfileexchange,用蓝牙收发文件，古早但关键时能救急
,clock,GTD,productivity|utilities,productivity,com.apple.clock,闹钟、计时器、秒表和世界时钟的统一入口
,cmux,ai-tools,development|ai-tools,ai-tools,null,适合整理媒体元数据、命名或封装文件
,colorsync-utility,picture-photo,design|picture-photo|utilities|system,media|picture-photo,com.apple.colorsyncutility,查看和修复色彩配置文件，处理显示和打印色差
,console,system-maintenance,utilities|system,utilities|system-enhancement,com.apple.console,看系统日志的窗口，排查异常时很有用
,contacts,communication,communication|productivity,communication,com.apple.addressbook,通讯录中枢，邮件、信息和 FaceTime 都会用到它
,dictionary,writing|education,writing|utilities|education,writing|education,com.apple.dictionary,离线词典和同义词库，写作查词不用开浏览器
,digital-color-meter,picture-photo,design|picture-photo|utilities,media|picture-photo,com.apple.digitalcolormeter,屏幕取色器，设计师临时取色的小神器
,disk-utility,system-maintenance,utilities|system,utilities|system-enhancement,com.apple.DiskUtility,管磁盘、分区、格式化和急救，别乱点但很重要
,freeform,Notes,productivity|design,productivity|writing,com.apple.freeform,无限白板，适合头脑风暴、草图和乱七八糟的想法
,grapher,education,utilities|education,education,com.apple.grapher,把方程画成图，数学可视化的隐藏工具
,image-capture,picture-photo|transfer|device-management,transfer|picture-photo|utilities,transfer|media|picture-photo|utilities|system-enhancement,com.apple.image_capture,从相机或扫描仪导入图片，朴素但稳定
,image-playground,ai-tools|picture-photo,design|picture-photo|ai-tools,media|picture-photo|ai-tools,com.apple.generativeplaygroundapp,用 Apple 智能生成图像，适合快速玩创意草稿
,maps,GTD,productivity|utilities,productivity,com.apple.Maps,查路线、看城市，也能把目的地推给 iPhone
,migration-assistant,transfer,transfer|utilities|system,transfer|utilities,com.apple.migrateassistant,换新 Mac 时搬家，把旧资料迁到新机器
,mission-control,system,system|system-enhancement,utilities|system,com.apple.exposelauncher,窗口和桌面的空中俯视图，乱了就看它
,numbers,office,productivity,productivity|writing,com.apple.iWork.Numbers,苹果表格工具，轻量报表比 Excel 更清爽
,pages,writing|office,writing,productivity|writing,com.apple.iWork.Pages,苹果文字处理器，写文档和排版都好看
,passwords,security,utilities|security,security,com.apple.passwords,系统密码管家，账号、验证码和通行密钥集中管
,photo-booth,picture-photo,media|picture-photo|entertainment,media|picture-photo,com.apple.photobooth,摄像头自拍和小特效，测试摄像头也方便
,podcasts,audio,media|audio|entertainment,media|audio,com.apple.podcasts,听播客的官方入口，通勤和学习都能用
,preview,picture-photo|PDF,writing|media|picture-photo|utilities|system,writing|media|picture-photo|utilities,com.apple.Preview,Mac 最被低估的工具：看图、批注 PDF、简单编辑全能
,screen-sharing,communication|network-tools,communication|utilities|system,communication|utilities,com.apple.screensharing,远程控制另一台 Mac，帮人修电脑很方便
,screenshot,video|picture-photo,video|picture-photo|utilities,media|video|picture-photo,com.apple.screenshot.launcher,截图和录屏入口，Shift-Command-5 的背后就是它
,script-editor,Automation,development|utilities|system-enhancement,productivity|system-enhancement,com.apple.scripteditor2,写和运行 AppleScript，控制老派 Mac 自动化
,sf-symbols,ui-prototyping,development|design|utilities,design,com.apple.sfsymbols,Apple 官方符号库，做原生界面必备
,shortcuts,Automation,productivity|utilities|system-enhancement,productivity|system-enhancement,com.apple.shortcuts,把多个动作串成一键流程，是现代版 Automator
,system-information,device-management,utilities|system,utilities|system-enhancement,com.apple.systemprofiler,查看硬件、软件和设备详情，查配置最准确
,tips,education,utilities|education,education,com.apple.helpviewer,苹果官方小技巧，偶尔能发现你没用过的功能
,tv,video,media|video|entertainment,media|video,com.apple.TV,影视内容播放和管理入口
,db-browser-for-sqlite,database-tools,browser|development,development,null,数据库工具，适合连接、查询和管理数据库
