normalizedName,tager,bundleIdentifier,defaultNote-ZH
finder,file-management,com.apple.finder,macOS 系统自带工具，适合完成对应的系统管理或日常操作
safari,browser,com.apple.Safari,Apple 官方浏览器，省电、隐私和生态联动是强项
mail,communication,com.apple.mail,系统邮件客户端，多个邮箱可以集中处理
messages,communication,com.apple.MobileSMS,iMessage 和短信入口，Mac 上回消息更快
facetime,communication|video,com.apple.FaceTime,苹果生态里的音视频通话入口
calendar,communication|GTD,com.apple.iCal,把日程从脑子里搬出来，给时间一张可视化地图
notes,Notes,com.apple.Notes,最快的系统备忘录，文字、图片、清单都能收
reminders,GTD,com.apple.reminders,待办和提醒事项，适合抓住日常小任务
photos,picture-photo,com.apple.Photos,系统照片库，管理、编辑和同步照片的主入口
music,audio,com.apple.Music,本地和流媒体音乐播放器
terminal,terminal-tools,com.apple.Terminal,命令行入口，Mac 的隐藏驾驶舱
activity-monitor,system-maintenance,com.apple.ActivityMonitor,Mac 的仪表盘，专看谁在耗电、吃内存、拖慢电脑
airport-utility,system,com.apple.airport.airportutility,管理 AirPort 和 Time Capsule 的老派网络工具
app-store,system,com.apple.AppStore,Mac 官方软件商店，找应用、更新和订阅都从这里开始
apps,system,com.apple.apps.launcher,一个轻量应用入口，帮你从系统层面快速打开 App
audio-midi-setup,audio|device-management,com.apple.audio.audiomidisetup,管音频设备和 MIDI 路由，音乐人和调试党很常用
automator,Automation,com.apple.automator,不写代码也能串起一串 Mac 自动化动作
bluetooth-file-exchange,transfer|device-management,com.apple.bluetoothfileexchange,用蓝牙收发文件，古早但关键时能救急
books,writing|education,com.apple.iBooksX,阅读和管理电子书的入口，适合把 Mac 变成书桌
boot-camp-assistant,system,com.apple.bootcampassistant,Intel Mac 安装 Windows 的官方向导
calculator,utilities,com.apple.calculator,小计算器，单位换算和程序员模式也藏在里面
chess,game,com.apple.chess,系统自带国际象棋，适合短暂休息和练习棋局
clock,GTD,com.apple.clock,闹钟、计时器、秒表和世界时钟的统一入口
colorsync-utility,picture-photo,com.apple.colorsyncutility,查看和修复色彩配置文件，处理显示和打印色差
console,system-maintenance,com.apple.console,看系统日志的窗口，排查异常时很有用
contacts,communication,com.apple.addressbook,通讯录中枢，邮件、信息和 FaceTime 都会用到它
dictionary,writing|education,com.apple.dictionary,离线词典和同义词库，写作查词不用开浏览器
digital-color-meter,picture-photo,com.apple.digitalcolormeter,屏幕取色器，设计师临时取色的小神器
disk-utility,system-maintenance,com.apple.DiskUtility,管理磁盘、分区、格式化和急救，处理存储问题很重要
find-my,system,com.apple.findmy,找设备、找物品，也让丢失的 Mac 有回家的线索
font-book,Font,com.apple.fontbook,字体安装和管理中心，设计前先管好字体
freeform,Notes,com.apple.freeform,无限白板，适合头脑风暴、草图和自由整理想法
games,game,com.apple.games,Apple 游戏入口，集中管理可玩的 Apple Arcade 内容
grapher,education,com.apple.grapher,把方程画成图，数学可视化的隐藏工具
home,system,com.apple.home,智能家居控制入口，可管理灯光、空调等设备
