rank,name,defaultTagIDs,defaultTagNamesEN,bundleIdentifier,normalizedName,oldCategoryCandidates,sourceEvidence,mergedCandidateRanks,tagReviewStatus,tagConfidence,regionHints,notes
1,Google Chrome,browser,Browsers,com.google.Chrome,google-chrome,browser,global_manual_seed:1|icon_pack_signal_seed:1|homebrew_cask_30d:10,1|57,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=38,207;percent=1.62;cask=google-chrome"
2,Microsoft Edge,browser,Browsers,com.microsoft.edgemac,microsoft-edge,browser,global_manual_seed:2|icon_pack_signal_seed:2|homebrew_cask_30d:118,2|218,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=3,760;percent=0.16;cask=microsoft-edge"
3,Firefox,browser,Browsers,org.mozilla.firefox,firefox,browser,global_manual_seed:3|icon_pack_signal_seed:3|homebrew_cask_30d:23|icon_pack_signal_seed:22,3|89,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=17,437;percent=0.74;cask=firefox / appears in common macOS icon-pack style seed list"
4,Brave Browser,browser,Browsers,com.brave.Browser,brave-browser,browser,global_manual_seed:4|icon_pack_signal_seed:4|homebrew_cask_30d:60|icon_pack_signal_seed:23,4|93,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=7,616;percent=0.32;cask=brave-browser / appears in common macOS icon-pack style seed list"
5,Arc,browser,Browsers,company.thebrowser.Browser,arc,browser,global_manual_seed:5|icon_pack_signal_seed:5|homebrew_cask_30d:132,5|230,top300_needs_human_review,0.78,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=2,978;percent=0.13;cask=arc"
6,Finder,file-management|system,File Management|System Apps,com.apple.finder,finder,system|other,apple_system_seed:1|icon_pack_signal_seed:1,6|19,top300_needs_human_review,0.82,,Apple system/pro app seed / appears in common macOS icon-pack style seed list
7,Slack,communication|productivity,Communication|Productivity,com.tinyspeck.slackmacgap,slack,communication,global_manual_seed:6|icon_pack_signal_seed:6|homebrew_cask_30d:59|icon_pack_signal_seed:10,7|35,top300_needs_human_review,0.82,,"global high-frequency seed; bundle id should be verified before final catalog / homebrew_count=7,638;percent=0.32;cask=slack / appears in common macOS icon-pack style seed list"
8,Docker Desktop,development,Development,com.docker.docker,docker-desktop,development,homebrew_cask_30d:4|icon_pack_signal_seed:26|global_manual_seed:15|icon_pack_signal_seed:15,8,top300_needs_human_review,0.78,,"homebrew_count=50,869;percent=2.15;cask=docker-desktop / appears in common macOS icon-pack style seed list / global high-frequency seed; bundle id should be verified before final catalog"
9,WeChat,communication,Communication,com.tencent.xinWeChat,wechat,communication,china_manual_seed:1|homebrew_cask_30d:186,9|283,top300_needs_human_review,0.78,CN,"China/Asia high-frequency seed; bundle id should be verified before final catalog / homebrew_count=1,870;percent=0.08;cask=wechat"
10,Safari,browser,Browsers,com.apple.Safari,safari,browser,apple_system_seed:2|icon_pack_signal_seed:2,10|24,top300_needs_human_review,0.78,,Apple system/pro app seed / appears in common macOS icon-pack style seed list
